Order ID,Order Date,CustomerName,State,City
K-82855,"Tuesday, 23 May 2023",Muthoni,Kisumu,Milimani
K-42349,"Saturday, 21 October 2023",Omondi,Kiambu,Kiambu Town
K-75839,"Tuesday, 17 September 2024",Mwangi,Kajiado,Kajiado Town
K-31312,"Monday, 14 October 2024",Njoroge,Nairobi,Karen
K-91899,"Wednesday, 24 April 2024",Njoroge,Machakos,Athi River
K-82789,"Sunday, 12 May 2024",Wanjiku,Nyeri,Karatina
K-15144,"Wednesday, 26 March 2025",Wafula,Kiambu,Ruiru
K-22498,"Sunday, 10 March 2024",Ndegwa,Machakos,Kangundo
K-64177,"Wednesday, 06 September 2023",Okoth,Kilifi,Mariakani
K-47206,"Wednesday, 10 July 2024",Waithaka,Nyeri,Nyeri Town
K-84958,"Tuesday, 20 August 2024",Kavita,Mombasa,Mombasa Island
K-15410,"Friday, 26 May 2023",Ngugi,Uasin Gishu,Moiben
K-74326,"Saturday, 29 June 2024",Waithaka,Kisumu,Mamboleo
K-26300,"Friday, 06 December 2024",Onyango,Kisumu,Kondele
K-77617,"Thursday, 21 March 2024",Mwangi,Kajiado,Kajiado Town
K-56076,"Wednesday, 03 January 2024",Kipchoge,Machakos,Kathiani
K-50750,"Monday, 25 December 2023",Gitonga,Mombasa,Nyali
K-15760,"Saturday, 04 January 2025",Odhiambo,Kiambu,Kikuyu
K-77240,"Monday, 11 March 2024",Kipchoge,Uasin Gishu,Turbo
K-39734,"Sunday, 06 August 2023",Akinyi,Kisumu,Kondele
K-95919,"Friday, 03 November 2023",Ali,Nairobi,Karen
K-23244,"Saturday, 07 December 2024",Odhiambo,Kilifi,Mtwapa
K-98219,"Tuesday, 25 February 2025",Wangari,Kajiado,Kajiado Town
K-63462,"Friday, 01 March 2024",Ruto,Kilifi,Kilifi Town
K-88842,"Tuesday, 25 April 2023",Kimani,Nairobi,Eastleigh
K-60501,"Thursday, 19 September 2024",Kimani,Kajiado,Kiserian
K-77258,"Friday, 30 August 2024",Kimutai,Kajiado,Kajiado Town
K-45565,"Friday, 24 January 2025",Odhiambo,Kajiado,Ongata Rongai
K-80347,"Thursday, 03 October 2024",Mutuku,Nyeri,Othaya
K-23355,"Sunday, 23 March 2025",Muthoni,Nyeri,Mweiga
K-65456,"Tuesday, 23 April 2024",Chebet,Kajiado,Kajiado Town
K-61057,"Friday, 09 August 2024",Kamau,Kajiado,Kajiado Town
K-45916,"Tuesday, 07 November 2023",Wangari,Kajiado,Ongata Rongai
K-70049,"Wednesday, 29 January 2025",Ndegwa,Mombasa,Nyali
K-42025,"Wednesday, 15 January 2025",Kavita,Mombasa,Nyali
K-76339,"Friday, 24 May 2024",Kosgei,Mombasa,Nyali
K-48104,"Friday, 26 May 2023",Omondi,Kisumu,Mamboleo
K-38722,"Saturday, 18 January 2025",Wanjiku,Mombasa,Mombasa Island
K-65306,"Saturday, 09 September 2023",Karanja,Kilifi,Mariakani
K-95343,"Thursday, 23 November 2023",Owino,Kilifi,Mariakani
K-35188,"Friday, 31 January 2025",Akinyi,Machakos,Machakos Town
K-29076,"Monday, 28 October 2024",Gathoni,Kiambu,Limuru
K-45150,"Tuesday, 27 August 2024",Auma,Nyeri,Nyeri Town
K-11631,"Friday, 23 February 2024",Mutuku,Uasin Gishu,Eldoret
K-84146,"Friday, 10 November 2023",Otieno,Mombasa,Likoni
K-16037,"Monday, 22 April 2024",Nyambura,Nairobi,Eastleigh
K-22888,"Tuesday, 25 July 2023",Wangari,Mombasa,Nyali
K-25994,"Tuesday, 17 September 2024",Kimutai,Mombasa,Shanzu
K-52525,"Monday, 06 January 2025",Kibet,Nyeri,Nyeri Town
K-25302,"Wednesday, 24 May 2023",Wanyama,Kiambu,Ruiru
K-85983,"Thursday, 02 November 2023",Ruto,Kajiado,Kitengela
K-85286,"Saturday, 16 November 2024",Ali,Kisumu,Mamboleo
K-32231,"Monday, 07 October 2024",Naliaka,Mombasa,Nyali
K-36577,"Thursday, 16 January 2025",Wangari,Kajiado,Kajiado Town
K-54936,"Sunday, 09 February 2025",Wanyama,Kilifi,Watamu
K-34509,"Saturday, 18 May 2024",Naliaka,Kilifi,Kilifi Town
K-76770,"Friday, 11 August 2023",Gathoni,Machakos,Kathiani
K-40380,"Monday, 10 March 2025",Adhiambo,Mombasa,Nyali
K-89630,"Saturday, 15 February 2025",Wekesa,Kiambu,Limuru
K-79523,"Wednesday, 19 June 2024",Wekesa,Kilifi,Mariakani
K-75078,"Wednesday, 12 July 2023",Ngugi,Kisumu,Mamboleo
K-38540,"Monday, 10 March 2025",Nyawira,Nyeri,Naro Moru
K-53448,"Wednesday, 10 July 2024",Karanja,Kilifi,Mtwapa
K-13490,"Thursday, 26 October 2023",Naliaka,Kiambu,Limuru
K-90821,"Wednesday, 13 March 2024",Okoth,Kajiado,Kitengela
K-14045,"Saturday, 04 May 2024",Kimutai,Mombasa,Likoni
K-91534,"Wednesday, 13 December 2023",Mutuku,Uasin Gishu,Moiben
K-45868,"Saturday, 23 September 2023",Odhiambo,Kajiado,Ongata Rongai
K-15647,"Friday, 19 April 2024",Gitonga,Uasin Gishu,Eldoret
K-57343,"Friday, 18 August 2023",Kamau,Nyeri,Naro Moru
K-50228,"Sunday, 23 April 2023",Onyango,Uasin Gishu,Ziwa
K-87525,"Monday, 08 July 2024",Odhiambo,Nakuru,Milimani
K-60645,"Monday, 07 August 2023",Omondi,Nairobi,Eastleigh
K-40503,"Monday, 11 September 2023",Mutiso,Kajiado,Ngong
K-70638,"Sunday, 02 March 2025",Nyambura,Kilifi,Malindi
K-66998,"Thursday, 07 November 2024",Njoroge,Uasin Gishu,Turbo
K-62295,"Wednesday, 10 April 2024",Cherotich,Uasin Gishu,Burnt Forest
K-35357,"Saturday, 16 September 2023",Naliaka,Mombasa,Bamburi
K-53033,"Monday, 17 June 2024",Kipkorir,Kilifi,Mtwapa
K-99767,"Sunday, 09 March 2025",Wekesa,Kajiado,Ongata Rongai
K-12750,"Sunday, 19 November 2023",Wangari,Kisumu,Mamboleo
K-58464,"Saturday, 25 May 2024",Chepkoech,Nyeri,Mweiga
K-79670,"Monday, 19 August 2024",Karanja,Kisumu,Kondele
K-42812,"Friday, 02 June 2023",Wanjiru,Kilifi,Mtwapa
K-49243,"Sunday, 18 June 2023",Wanjiku,Uasin Gishu,Burnt Forest
K-47691,"Thursday, 25 July 2024",Kimutai,Machakos,Kathiani
K-25192,"Saturday, 28 September 2024",Kavita,Nyeri,Nyeri Town
K-64920,"Wednesday, 17 July 2024",Wambui,Machakos,Kangundo
K-72845,"Monday, 15 January 2024",Kariuki,Kiambu,Ruiru
K-11701,"Thursday, 07 March 2024",Maina,Kilifi,Mtwapa
K-70239,"Friday, 16 February 2024",Kipkorir,Kiambu,Limuru
K-55886,"Sunday, 21 July 2024",Omondi,Nakuru,Lanet
K-65439,"Thursday, 10 October 2024",Ndegwa,Nyeri,Karatina
K-74973,"Saturday, 22 June 2024",Mutiso,Machakos,Matuu
K-58941,"Wednesday, 19 July 2023",Nyambura,Kisumu,Milimani
K-48151,"Saturday, 10 February 2024",Wanjiru,Kisumu,Kondele
K-10886,"Tuesday, 07 November 2023",Wafula,Kisumu,Nyalenda
K-30621,"Thursday, 11 January 2024",Maina,Machakos,Athi River
K-74960,"Monday, 04 November 2024",Auma,Kiambu,Kiambu Town
K-52338,"Tuesday, 16 January 2024",Mohammed,Uasin Gishu,Ziwa
K-37929,"Saturday, 11 November 2023",Nyambura,Mombasa,Nyali
K-65340,"Tuesday, 11 February 2025",Wafula,Nakuru,Milimani
K-11362,"Sunday, 21 January 2024",Gitonga,Uasin Gishu,Eldoret
K-57920,"Sunday, 24 November 2024",Okoth,Uasin Gishu,Burnt Forest
K-78505,"Thursday, 26 December 2024",Adhiambo,Nyeri,Karatina
K-64620,"Monday, 08 May 2023",Kavita,Kiambu,Limuru
K-68925,"Wednesday, 22 November 2023",Ndegwa,Nakuru,Nakuru CBD
K-34495,"Monday, 11 September 2023",Waithaka,Kisumu,Kondele
K-78659,"Sunday, 08 December 2024",Mutuku,Machakos,Kangundo
K-31700,"Tuesday, 02 May 2023",Ruto,Uasin Gishu,Moiben
K-78999,"Wednesday, 21 June 2023",Kavita,Mombasa,Nyali
K-49984,"Monday, 29 April 2024",Kipkorir,Kilifi,Malindi
K-73556,"Monday, 01 January 2024",Kavita,Machakos,Machakos Town
K-42661,"Wednesday, 25 October 2023",Cherotich,Kajiado,Ngong
K-35565,"Wednesday, 14 June 2023",Kibet,Kajiado,Kitengela
K-17841,"Sunday, 02 July 2023",Kimutai,Uasin Gishu,Moiben
K-81677,"Saturday, 29 April 2023",Nyawira,Kiambu,Kiambu Town
K-28126,"Thursday, 02 November 2023",Akinyi,Kilifi,Mtwapa
K-61602,"Thursday, 21 September 2023",Maina,Kilifi,Kilifi Town
K-77181,"Sunday, 07 April 2024",Mohammed,Kiambu,Kiambu Town
K-77477,"Friday, 16 February 2024",Otieno,Nyeri,Nyeri Town
K-92354,"Sunday, 23 July 2023",Auma,Nairobi,Nairobi CBD
K-21827,"Wednesday, 10 April 2024",Onyango,Nyeri,Othaya
K-63240,"Wednesday, 27 November 2024",Mutuku,Mombasa,Nyali
K-51325,"Sunday, 07 July 2024",Kipkorir,Kisumu,Kisumu CBD
K-62006,"Friday, 22 March 2024",Wekesa,Machakos,Machakos Town
K-52672,"Sunday, 09 February 2025",Mutiso,Uasin Gishu,Burnt Forest
K-97020,"Monday, 27 May 2024",Ndungu,Uasin Gishu,Ziwa
K-48757,"Tuesday, 04 July 2023",Kavita,Mombasa,Mombasa Island
K-26729,"Wednesday, 18 September 2024",Ngugi,Nairobi,Kasarani
K-49901,"Tuesday, 30 April 2024",Naliaka,Kisumu,Nyalenda
K-10397,"Tuesday, 07 May 2024",Ndegwa,Kilifi,Mariakani
K-13850,"Friday, 25 August 2023",Ndungu,Mombasa,Likoni
K-48123,"Thursday, 25 April 2024",Ndegwa,Nyeri,Othaya
K-62056,"Thursday, 13 March 2025",Gitonga,Kajiado,Ngong
K-37723,"Tuesday, 12 November 2024",Ngugi,Kajiado,Ongata Rongai
K-87227,"Wednesday, 19 June 2024",Nyambura,Kilifi,Watamu
K-82970,"Saturday, 02 March 2024",Naliaka,Nakuru,Lanet
K-17178,"Tuesday, 28 November 2023",Mwangi,Nakuru,Lanet
K-60531,"Friday, 14 July 2023",Mutiso,Nairobi,Westlands
K-61457,"Monday, 10 April 2023",Ali,Mombasa,Mombasa Island
K-35851,"Saturday, 14 December 2024",Akinyi,Machakos,Athi River
K-93686,"Thursday, 28 March 2024",Ngugi,Kajiado,Ngong
K-98886,"Friday, 19 April 2024",Ruto,Kilifi,Kilifi Town
K-77631,"Monday, 06 May 2024",Otieno,Kiambu,Ruiru
K-83470,"Wednesday, 03 July 2024",Kipkorir,Kiambu,Kiambu Town
K-80428,"Friday, 18 August 2023",Ndegwa,Uasin Gishu,Eldoret
K-28031,"Sunday, 30 April 2023",Muriuki,Nyeri,Nyeri Town
K-61450,"Sunday, 23 July 2023",Wanjiru,Nairobi,Karen
K-71295,"Sunday, 02 July 2023",Wekesa,Nyeri,Othaya
K-37784,"Thursday, 13 March 2025",Wambui,Kiambu,Thika
K-50091,"Saturday, 15 April 2023",Wanjiku,Uasin Gishu,Burnt Forest
K-12619,"Saturday, 08 March 2025",Ruto,Kiambu,Kiambu Town
K-23532,"Thursday, 23 May 2024",Kipchoge,Nairobi,Kasarani
K-44236,"Sunday, 24 September 2023",Chebet,Nyeri,Mweiga
K-50472,"Monday, 20 May 2024",Kimani,Kiambu,Limuru
K-24667,"Saturday, 06 July 2024",Waithaka,Kajiado,Kajiado Town
K-96726,"Wednesday, 15 May 2024",Kavita,Kajiado,Ongata Rongai
K-44446,"Saturday, 23 September 2023",Mutua,Nairobi,Kasarani
K-58633,"Wednesday, 04 September 2024",Chepkoech,Machakos,Athi River
K-27034,"Sunday, 09 June 2024",Mutua,Kisumu,Kisumu CBD
K-72056,"Monday, 28 October 2024",Mohammed,Nyeri,Naro Moru
K-41991,"Saturday, 12 October 2024",Owino,Nakuru,Milimani
K-56729,"Friday, 20 October 2023",Muriuki,Machakos,Kangundo
K-18113,"Thursday, 21 September 2023",Nyambura,Machakos,Athi River
K-74870,"Saturday, 06 April 2024",Owino,Machakos,Matuu
K-93432,"Saturday, 04 January 2025",Ndegwa,Uasin Gishu,Moiben
K-80274,"Saturday, 06 July 2024",Muriuki,Kilifi,Mtwapa
K-33778,"Wednesday, 17 April 2024",Kariuki,Nakuru,Nakuru CBD
K-46589,"Sunday, 30 July 2023",Wanjiru,Kilifi,Malindi
K-80932,"Thursday, 02 May 2024",Kibet,Kisumu,Milimani
K-88199,"Monday, 06 May 2024",Mutiso,Kisumu,Kondele
K-38517,"Thursday, 08 February 2024",Ngugi,Kajiado,Ongata Rongai
K-75186,"Thursday, 14 December 2023",Karanja,Kilifi,Mariakani
K-77595,"Monday, 05 August 2024",Karanja,Nairobi,Karen
K-67080,"Saturday, 13 January 2024",Kipchoge,Nakuru,London
K-95132,"Wednesday, 17 May 2023",Muthoni,Nyeri,Mweiga
K-18343,"Saturday, 24 February 2024",Adhiambo,Nairobi,Eastleigh
K-46510,"Saturday, 08 July 2023",Otieno,Nyeri,Naro Moru
K-84433,"Sunday, 16 July 2023",Ngugi,Kiambu,Limuru
K-73861,"Thursday, 25 January 2024",Mutuku,Kilifi,Malindi
K-61606,"Sunday, 09 April 2023",Kavita,Kiambu,Thika
K-68569,"Saturday, 16 September 2023",Karanja,Kajiado,Kiserian
K-39330,"Thursday, 04 January 2024",Akinyi,Nakuru,Milimani
K-20847,"Tuesday, 12 March 2024",Maina,Mombasa,Likoni
K-54321,"Sunday, 05 May 2024",Wambui,Nairobi,Karen
K-19804,"Wednesday, 25 October 2023",Mutuku,Kisumu,Kondele
K-93411,"Wednesday, 10 July 2024",Naliaka,Machakos,Kangundo
K-90101,"Tuesday, 07 January 2025",Kamau,Kajiado,Ngong
K-52840,"Friday, 02 February 2024",Ngugi,Kiambu,Kiambu Town
K-20548,"Sunday, 28 April 2024",Ndungu,Mombasa,Nyali
K-18658,"Sunday, 16 July 2023",Ali,Kilifi,Watamu
K-54397,"Friday, 07 April 2023",Kiprop,Nyeri,Mweiga
K-25836,"Sunday, 15 December 2024",Mutuku,Kiambu,Kikuyu
K-33740,"Saturday, 16 December 2023",Wanjiru,Uasin Gishu,Moiben
K-52253,"Saturday, 21 September 2024",Kosgei,Nyeri,Nyeri Town
